Country,Region,Population,Area,Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP($/capita),Birthrate,Deathrate,Agriculture,Industry,Service
Singapore,ASIA (EX. NEAR EAST),4492150,693,"27,85","11,53","2,29",23700,9.34,4.28,0,0.339,0.661
Slovakia,EASTERN EUROPE,5439448,48845,"0,00","0,3","7,41",13300,10.65,9.45,0.035,0.294,0.672
Slovenia,EASTERN EUROPE,2010347,20273,"0,23","1,12","4,45",19000,8.98,10.31,0.028,0.369,0.603
Solomon Islands,OCEANIA,552438,28450,"18,67",0,"21,29",1700,30.01,3.92,0.42,0.11,0.47
Somalia,SUB-SAHARAN AFRICA,8863338,637657,"0,47","5,37","116,7",500,45.13,16.63,0.65,0.1,0.25
Sudan,SUB-SAHARAN AFRICA,44187637,1219912,"0,23","-0,29","61,81",10700,18.2,22,0.025,0.303,0.671
Spain,WESTERN EUROPE,40397842,504782,"0,98","0,99","4,42",22000,10.06,9.72,0.04,0.295,0.665
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,"2,04","-1,31","14,35",3700,15.51,6.52,0.178,0.276,0.545
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,"0,03","-0,02","62,5",1900,34.53,8.97,0.387,0.203,0.41
Suriname,LATIN AMER. & CARIB,439117,163270,"0,24","-8,81","23,57",4000,18.02,7.27,0.13,0.22,0.65
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,"0,00",0,"69,27",4900,27.41,29.74,0.119,0.515,0.366
Sweden,WESTERN EUROPE,9016596,449964,"0,72","1,67","2,77",26800,10.27,10.31,0.011,0.282,0.707
Switzerland,WESTERN EUROPE,7523934,41290,"0,00","4,05","4,39",32700,9.71,8.49,0.015,0.34,0.645
Syria,NEAR EAST,18881361,185180,"0,10",0,"29,53",3300,27.76,4.81,0.249,0.23,0.519
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,"4,35",0,"6,4",23400,12.56,6.48,0.018,0.259,0.723
Tajikistan,C.W. OF IND. STATES,7320815,143100,"0,00","-2,86","110,76",1000,32.65,8.25,0.234,0.286,0.48
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,"0,15","-2,06","98,54",600,37.71,16.39,0.432,0.172,0.396
Thailand,ASIA (EX. NEAR EAST),64631595,514000,"0,63",0,"20,48",7400,13.87,7.04,0.099,0.441,0.46
Togo,SUB-SAHARAN AFRICA,5548702,56785,"0,10",0,"66,61",1500,37.01,9.83,0.395,0.204,0.401
Tonga,OCEANIA,114689,748,"56,02",0,"12,62",2200,25.37,5.28,0.23,0.27,0.5
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,"7,06","-10,83","24,31",9500,12.9,10.57,0.007,0.57,0.423
Tunisia,NORTHERN AFRICA,10175014,163610,"0,70","-0,57","24,77",6900,15.52,5.13,0.132,0.318,0.55
Turkey,NEAR EAST,70413958,780580,"0,92",0,"41,04",6700,16.62,5.97,0.117,0.298,0.585
Turkmenistan,C.W. OF IND. STATES,5042920,488100,"0,00","-0,86","73,08",5800,27.61,8.6,0.209,0.38,0.411
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,"90,47","11,68","15,67",9600,21.84,4.21,,,
Tuvalu,OCEANIA,11810,26,"92,31",0,"20,03",1100,22.18,7.11,0.166,0.272,0.562
Uganda,SUB-SAHARAN AFRICA,28195754,236040,"0,00",0,"67,83",1400,47.35,12.24,0.311,0.222,0.469
Ukraine,C.W. OF IND. STATES,46710816,603700,"0,46","-0,39","20,34",5400,8.82,14.39,0.187,0.452,0.361
United Arab Emirates,NEAR EAST,2602713,82880,"1,59","1,03","14,51",23200,18.96,4.4,0.04,0.585,0.375
United Kingdom,WESTERN EUROPE,60609153,244820,"5,08","2,19","5,16",27700,10.71,10.13,0.005,0.237,0.758
United States of America,NORTHERN AMERICA,298444215,9631420,"0,21","3,41","6,5",37800,14.14,8.26,0.01,0.204,0.787
Uruguay,LATIN AMER. & CARIB,3431932,176220,"0,37","-0,32","11,95",12800,13.91,9.05,0.093,0.311,0.596
Uzbekistan,C.W. OF IND. STATES,27307134,447400,"0,00","-1,72","71,1",1700,26.36,7.84,0.342,0.229,0.43
Vanuatu,OCEANIA,208869,12200,"20,72",0,"55,16",2900,22.72,7.82,0.26,0.12,0.62
Venezuela,LATIN AMER. & CARIB,25730435,912050,"0,31","-0,04","22,2",4800,18.71,4.92,0.04,0.419,0.541
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,"1,05","-0,45","25,95",2500,16.86,6.22,0.209,0.41,0.381
Virgin Islands,LATIN AMER. & CARIB,108605,1910,"9,84","-8,94","8,03",17200,13.96,6.43,0.01,0.19,0.8
Wallis and Futuna,OCEANIA,16025,274,"47,08",,,3700,,,,,
West Bank,NEAR EAST,2460492,5860,"0,00","2,98","19,62",800,31.67,3.92,0.09,0.28,0.63
Western Sahara,NORTHERN AFRICA,273008,266000,"0,42",,,,,,,,0.4
Yemen,NEAR EAST,21456188,527970,"0,36",0,"61,5",800,42.89,8.3,0.135,0.472,0.393
Zambia,SUB-SAHARAN AFRICA,11502010,752614,"0,00",0,"88,29",800,41,19.93,0.22,0.29,0.489
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,"0,00",0,"67,69",1900,28.01,21.84,0.179,0.243,0.579
